id,title,company,location,posted_date,job_description,job_url,search_role,search_location,extracted_skills,skills_count,scraped_at
,Frontend Developer,"NTT DATA, Inc.",Area DKI Jakarta,2026-05-29,"Make an impact with NTT DATA

Join a company that is pushing the boundaries of what is possible. We are renowned for our technical excellence and leading innovations, and for making a difference to our clients and society. Our workplace embraces diversity and inclusion – it’s a place where you can grow, belong and thrive.

Your day at NTT DATA

The Associate Software Development Engineer is an entry level subject matter expert, tasked with assisting with designing, developing, and testing software systems, modules, or applications for software enhancements and new products including cloud-based or internet-related tools.

This role is accountable for assisting with for detailed design for certain modules/sub-systems, doing prototype for multi-vendor infrastructure, and showcasing it internally or externally to clients.

This role designs and develops functionality in a micro-services environment working with APIs, telemetry data, and running ML/AI algorithms on it, working with both structured and unstructured data.

Key responsibilities:


Develop high-quality, scalable, and reusable components using Angular.
Collaborate with UI/UX designers to bridge the gap between graphical design and technical implementation.
Optimize applications for maximum speed, scalability, and cross-browser compatibility.
Integrate front-end elements with server-side logic via RESTful APIs
Receives detailed instructions to design and develop solutions and functionality that drives the growth of business.
Assists with writing and testing code.
Assists with the execution of automated testing.
Takes directions from various stakeholders to participate in software deployment.
Assists with delivering software components while working in collaboration with the product team.
Supports the integration and building of solutions through automation and coding, using 3rd party software.
Receives detailed instructions to craft, build, and debug large scale distributed systems.
Assists with writing, updating and maintaining the technical program, end-user documentation, and operational procedures.
Assists with refactoring code.
Assists with the reviewing of code written by other developers.
Performs any other related task as required.


To thrive in this role, you need to have:


Solid experience with Angular (v14 or higher), including a strong understanding of TypeScript, RxJS (Observables and Operators), and the Angular Lifecycle Hooks.
Developing subject matter expert in programming languages such as C/C++, C#, Java, JavaScript, Python, Node.js, libraries and frameworks.
Some expertise of data structures, algorithms, and software design with strong analytical and debugging skills.
Knowledge of micro services-based software architecture and experience with API product development.
Some expertise in SQL and no-SQL data stores including Elasticsearch, MongoDB, Cassandra.
Basic understanding of container run time (Kubernetes, Docker, LXC/LXD).
Some proficiency with agile, lean practices and believes in test-driven development.
Possess a can-do attitude and one that takes initiative.
Ability to work well in a diverse team with different backgrounds and experience levels.
Ability to thrive in a dynamic, fast-paced environment.
Some proficiency with CI/CD concepts and tools.
Some proficiency with cloud-based infrastructure and deployments.
Excellent attention to detail.


Academic qualifications and certifications:


Bachelor's degree or equivalent in Computer Science, Engineering or a related field.


Required experience:


Minimum 2-5 years of experience in Front End Development.
Proficiency in Angular (TypeScript, RxJS, and Angular CLI).
Strong command of HTML5, CSS3/SCSS, and JavaScript.
Familiarity with responsive design and CSS frameworks (e.g., Bootstrap, Tailwind, or Angular Material).
Experience with Git, Webpack, and modern build pipelines (CI/CD).
Familiarity with working with large data sets and ability to apply proper ML/AI algorithms.
Entry level experience in developing micro-services and RESTful APIs.


Workplace type:

About NTT DATA

NTT DATA is a $30+ billion business and technology services leader, serving 75% of the Fortune Global 100. We are committed to accelerating client success and positively impacting society through responsible innovation. We are one of the world’s leading AI and digital infrastructure providers, with unmatched capabilities in enterprise-scale AI, cloud, security, connectivity, data centers and application services. Our consulting and industry solutions help organizations and society move confidently and sustainably into the digital future. As a Global Top Employer, we have experts in more than 50 countries. We also offer clients access to a robust ecosystem of innovation centers as well as established and start-up partners. NTT DATA is part of NTT Group, which invests over $3 billion each year in R&D.

Equal Opportunity Employer

NTT DATA is proud to be an Equal Opportunity Employer with a global culture that embraces diversity. We are committed to providing an environment free of unfair discrimination and harassment. We do not discriminate based on age, race, colour, gender, sexual orientation, religion, nationality, disability, pregnancy, marital status, veteran status, or any other protected category. Join our growing global team and accelerate your career with us. Apply today.

Third parties fraudulently posing as NTT DATA recruiters

NTT DATA recruiters will never ask job seekers or candidates for payment or banking information during the recruitment process, for any reason. Please remain vigilant of third parties who may attempt to impersonate NTT DATA recruiters—whether in writing or by phone—in order to deceptively obtain personal data or money from you. All email communications from an NTT DATA recruiter will come from an @nttdata.com email address. If you suspect any fraudulent activity, please contact us.",https://id.linkedin.com/jobs/view/frontend-developer-at-ntt-data-inc-4409286269?position=60&pageNum=0&refId=hg64XF2As6DsqMx%2Fww7BkQ%3D%3D&trackingId=TwyEoamOE2LWIdnQZAlkgg%3D%3D,Machine Learning,Indonesia,"['elasticsearch', 'python', 'angular', 'mongodb', 'kubernetes', 'c++', 'c#', 'git', 'agile', 'java', 'scala', 'docker', 'typescript', 'javascript', 'sql']",15,2026-05-31T09:46:18.812839
,Data Analyst (Regional BD) - Business Intelligence,Shopee,"Jakarta Raya, Indonesia",2026-05-29,"Job Description


Partner with the Regional BD team as a business-facing BI, enabling data-driven commercial decisions.
Act as a thought partner to simplify complex data into clear, actionable insights for senior management.
Proactively frame business problems, define success metrics, and deliver recommendations — not just reports.
Analyze large datasets to diagnose performance, identify opportunities, and support strategic initiatives.
Build and maintain dashboards to track key commercial metrics.
Deliver fast, high-impact ad-hoc analyses in a high-visibility, fast-paced environment.


Requirements


Bachelor’s or Master’s degree in a quantitative or relevant field.
Strong proficiency in SQL; comfortable working with large datasets.
Proven ability to apply business context and judgment, beyond data extraction.
Experience working with senior stakeholders and cross-functional teams.
Familiarity with BI tools (e.g. Tableau, Power BI, Looker).
Experience with Python or R is a plus.
Fluent in English and Bahasa Indonesia.
Self-starter with strong ownership, communication, and interpersonal skills.",https://id.linkedin.com/jobs/view/data-analyst-regional-bd-business-intelligence-at-shopee-4319210694?position=1&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=%2BkBwRQl3B2d7ZL6ZiWIaUA%3D%3D,Machine Learning,Indonesia,"['tableau', 'python', 'sql', 'power bi']",4,2026-05-31T09:46:37.968465
,Data Scientist,Krom,"Jakarta Raya, Indonesia",2026-05-26,"About The Role:

At Krom Bank Indonesia, we are building the future of digital banking through Machine Learning and AI, including Large Language Models (LLMs) and AI agents. We are looking for a Data Scientist who will work closely with Analysts, Machine Learning Engineers, Product teams, and business stakeholders to build practical AI solutions that improve customer experience, internal operations, and business decision-making.




You will take ownership from problem discovery, experimentation, and model development to deployment and continuous improvement in production. Our ideal candidate is hands-on, result-focused, and strong in both quantitative thinking and business understanding.

⸻

Job Purpose:

Design, develop, and deploy machine learning models and AI-powered applications across functions such as credit scoring, fraud detection, risk management, customer intelligence, and operational automation.

⸻

Key Responsibilities:

Build and deploy machine learning models and AI-powered applications
Develop predictive models for credit scoring, fraud detection, recommendation systems, and customer segmentation
Build AI applications using LLMs, RAG, and AI agents for internal and customer-facing use cases
Design end-to-end AI pipelines from data preparation to production deployment
Research and improve models using modern ML techniques and AI tooling
Collaborate with Product, Engineering, Risk, Operations, and Business teams to solve business problems
Monitor and improve model performance, reliability, and explainability
Contribute to Data Science and AI best practices across the team







About You:

Formal Education:

Minimum Bachelor's Degree (S1) in Computer Science, Mathematics, Statistics, Engineering, Artificial Intelligence, or other related quantitative fields.

⸻

Professional Qualification

Strong understanding of machine learning modeling and predictive analytics
Proficiency in Python or R
Good knowledge of MySQL/PostgreSQL and data platforms such as S3
Experience building and deploying ML or AI applications
Familiarity with LLMs and modern AI application patterns
Strong analytical thinking and problem-solving skills
Good communication and collaboration skills
Strong ownership mindset and ability to work in a fast-paced environment

⸻

Relevant Work Experience

Minimum 1 year of relevant experience in Data Science, Machine Learning, or AI development
Hands-on experience building and deploying machine learning models or AI applications

Preferred Qualifications

Experience building LLM-powered applications such as chatbots, AI assistants, or AI agents
Familiarity with RAG, vector databases, and frameworks such as LangChain, Google ADK, or OpenAI Agents
Experience using FastAPI, Streamlit, or similar frameworks
Experience in Deep Learning and/or NLP models
Experience in fintech, digital banking, lending, or high-scale consumer platforms

Bonus Points

Experience with credit risk modeling, fraud detection, or alternate data evaluation in financial services",https://id.linkedin.com/jobs/view/data-scientist-at-krom-4419157887?position=2&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=hASZDBZL8q6CMeRRkSOmtA%3D%3D,Machine Learning,Indonesia,"['python', 'git', 'mysql', 'postgresql', 'fastapi', 'sql']",6,2026-05-31T09:46:44.573457
,Artificial Intelligence Engineer - AI Platform,Flip,Jakarta Selatan,2026-05-25,"We’re hiring for an Artificial Intelligence Engineer for Flip's newly created AI Platform team. You will be working with the technology that empowers our various product offerings, including but not limited to payments & transfers, lifestyle products, gaming, payment gateway, and many others. If you’re passionate about building AI-empowered reliable systems, eager to learn, and excited to work on products that impact millions of Indonesians, this is your chance.




About Flip

Flip was founded in 2015 by three friends from Universitas Indonesia — Rafi, Luqman, and Anjar — with the goal of making money transfers fairer for Indonesians. Today, millions of individuals and businesses trust Flip to send trillions of rupiah across banks every year.

We’re backed by leading investors such as Sequoia India, Insight Partners, and Insignia, and our mission is simple: to give Indonesians access to one of the most progressive and fairest financial services in the world.

At Flip, we always strive to provide the fairest place for you to work, learn, and grow with talented and fun people in various opportunities to advance your career and get fair rewards. We believe that we have to treat employees, customers, and all stakeholders fairly and respectfully. Fair treatment for employees means we establish clear goals, facilitate our employees to achieve them, and value their contribution to the company with equitable benefits.




Key Responsibilities:

Design, build, and ship user-facing AI-powered features and products end-to-end, from prototype to production
Develop and iterate on LLM-based applications, including prompt engineering, retrieval-augmented generation (RAG) pipelines, tool use, and agentic workflows
Own the full product surface of AI features — UI/UX, API design, latency optimization, and user feedback integration
Build evaluation frameworks and feedback loops to measure AI output quality, catch regressions, and drive continuous improvement
Implement robust guardrails, content filtering, and safety mechanisms for production AI systems
Collaborate closely with product managers, designers, and domain experts to translate user problems into well-scoped AI solutions
Instrument and monitor AI features in production, including cost tracking, latency, error rates, and user satisfaction metrics
Contribute to internal tooling and infrastructure that accelerates the team's ability to prototype and ship AI experiences




Requirements:

2+ years of experience as a Software Engineer, AI Engineer, or Product Engineer building user-facing products
Hands-on experience building applications with LLMs (e.g., OpenAI, Claude, Llama), including prompt design, chaining, and function/tool calling
Familiarity with RAG architectures, embedding models, and vector databases (e.g., Pinecone, FAISS, Weaviate)
Strong proficiency in Go and Python, with experience building performant backend services
Experience building and consuming APIs, with a good sense for developer ergonomics and product polish
Demonstrated ability to ship iteratively — comfortable with ambiguity, rapid prototyping, and learning from user feedback
Strong product instinct and the ability to make sound trade-offs between scope, quality, and speed
Excellent communication skills across both technical and non-technical stakeholders




Nice to Have:

Experience with AI orchestration frameworks (e.g., LangChain, LlamaIndex, or custom agent architectures)
Familiarity with evaluation and observability tooling for LLM applications (e.g., LangSmith, Braintrust, custom evals)
Background in fine-tuning or distillation of foundation models
Experience with real-time or streaming interfaces for AI features
Knowledge of GCP, AWS, or similar cloud platforms for deploying AI services
Prior work in fintech, marketplaces, or AI-native companies
Experience with A/B testing and experimentation frameworks for AI features",https://id.linkedin.com/jobs/view/artificial-intelligence-engineer-ai-platform-at-flip-4415217165?position=3&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=rv6OMDz1Tz5gqh4HU5Al%2Bg%3D%3D,Machine Learning,Indonesia,"['python', 'aws', 'gcp', 'rust']",4,2026-05-31T09:46:51.186746
,AI Engineer (Remote),Jalur Consulting,Indonesia,2026-05-28,"Location: Remote

Project with Japan-based company

 

About the Role

We are looking for an AI Engineer to design and build practical AI solutions for business needs.

You will work closely with stakeholders to turn ideas and business requirements into scalable AI systems, applications, and automation solutions.

 

Responsibilities

Design and develop AI-powered solutions and applications
Translate business requirements into technical solutions and system design
Develop and integrate backend systems using Python
Build APIs, automation, and AI integrations
Collaborate with stakeholders and technical teams to deliver scalable solutions

 

Requirements

Strong experience in Python development
Hands-on experience in AI / Machine Learning / Generative AI projects
Ability to translate vague or abstract business requirements into practical AI solutions, technical requirements, and system designs
Experience delivering solutions that provide clear business value or measurable outcomes
Strong problem-solving skills with the ability to recommend alternative AI approaches when data availability is limited
Experience with APIs, backend systems, and system integration
Ability to work independently in a remote environment

 

Nice to Have

Experience with LLMs, RAG, AI Agents, NLP, or automation
Cloud experience
Experience working with overseas or client-facing projects




To apply, submit your CV to our internal site: https://jalur.co/ua1_auth.html?mode=register&refcode=69976367",https://id.linkedin.com/jobs/view/ai-engineer-remote-at-jalur-consulting-4417648149?position=4&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=j8DHZKnpkNTObk%2Buumk3kA%3D%3D,Machine Learning,Indonesia,"['python', 'scala']",2,2026-05-31T09:46:57.792543
,AI Engineer,AJARI.AI,"Jakarta Raya, Indonesia",2026-05-25,"Company Description

AJARI TECHNOLOGIES is a technology company focused on an AI-powered learning and workforce development platform. Our solutions are designed for governments, institutions, schools, universities, and large organizations to personalize education, upskill, and transform learning outcomes at a national level. We work to scale education to meet the diverse needs of our clients, ensuring impactful results and continuous improvement.




About the Role

This is a full-time on-site role for an AI Engineer (NLP). The AI Engineer will be responsible for working on Natural Language Processing (NLP) projects, developing and implementing machine learning solutions, and creating algorithmic models. Daily tasks will include coding, testing, and maintaining software applications related to NLP and LLM-based systems, such as chatbots, RAG pipelines, and agentic workflows. The role involves close collaboration with product managers, backend engineers, and other stakeholders to design, build, and deploy scalable NLP solutions into production.




Qualifications – Must Have:

Minimum 1 year full-time experience in AI-related fields: NLP / Machine Learning / Data Science.
Minimum 3+ years of professional experience with Python.
Minimum 2+ years of professional experience with: Object-Oriented Programming (OOP) and PyTorch.
Software engineering experience, including: API development, Use of Git (branching, pull requests, code reviews), Database integration, Basic unit testing.
Hands-on project experience with: LLM + RAG (Retrieval-Augmented Generation) and Agentic / tools-based workflow (e.g., function/tool calling).




Qualifications – Preferred:

Hands-on experience with frameworks and tools such as: LlamaIndex, LangChain, LangGraph, FastAPI and Vector Databases (e.g., Pinecone, Weaviate, Chroma, Qdrant).
Knowledge of: Async/sync programming and concurrency and Socket/WebSocket and streaming responses (e.g., SSE).
English proficiency (one of the following levels, minimum Basic): Basic – able to read technical documentation and papers.",https://id.linkedin.com/jobs/view/ai-engineer-at-ajari-ai-4417869711?position=5&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=%2B6SdQMUi4ofMNMkkPFa2ig%3D%3D,Machine Learning,Indonesia,"['python', 'pytorch', 'git', 'scala', 'fastapi']",5,2026-05-31T09:47:04.388639
,Sr Officer-Data Science AI/ML,PT. Indosat Tbk,"Jakarta Raya, Indonesia",2026-05-30,"Responsibilities


Translate business needs into technical requirements and define model objectives, input data, and success metrics.
Design, develop, and deploy end-to-end machine learning models (Supervised, Unsupervised, and Reinforcement Learning) to solve complex telco challenges
Apply AI/ML techniques to improve network performance and customer experience
Build and maintain scalable data pipelines and feature stores using cloud platforms to ensure seamless model training and inference at scale.
Partner with Network, Technology, and Commercial teams to translate business requirements into technical AI roadmaps and provide actionable insights that drive excellent experience, revenue or cost efficiency.
Design and execute rigorous experimentation frameworks to validate model performance and business impact, ensuring high accuracy and model stability over time.


Requirements

Technical Skills:


Bachelor’s or Master’s degree in Computer Science, Information Technology, Statistics or related field.
Minimum of 3–6 years of professional experience in Data Science or Machine Learning, particularly in projects involving AI and machine learning with a proven track record of designing and implementing data pipelines and architecture including data ingestion, processing and delivery.
Expert-level programming in Python
Hands-on experience designing multi-agent systems and orchestration frameworks (e.g., Google ADK, LangChain, AutoGen, or CrewAI)
Hands-on experience with ML frameworks such as XGBoost, Scikit-learn, TensorFlow, or PyTorch
Strong command of SQL and experience with big data technologies (e.g., BigQuery, Spark)
Familiarity with Telco-specific data structures, network KQIs and subscriber behavioral patterns
Familiarity with cloud platforms like Google Cloud Platform (GCP) and their associated data services
Familiarity with MLOps lifecycle (CI/CD for ML).
Familiarity with ETL tools like Apache Airflow or Talend
Professional certifications such as Google Professional Machine Learning Engineer or similar are highly regarded.


Soft Skills


Strong analytical and problem-solving abilities.
Excellent communication and teamwork skills to collaborate effectively with various teams.
Ability to explain complex technical concepts to non-technical stakeholders and a proactive, problem-solving mindset.
Ability to work independently in a dynamic environment.",https://id.linkedin.com/jobs/view/sr-officer-data-science-ai-ml-at-pt-indosat-tbk-4412440989?position=6&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=yME9GvC0w9Pi9SmzeDNe5A%3D%3D,Machine Learning,Indonesia,"['spark', 'python', 'pytorch', 'gcp', 'scala', 'tensorflow', 'airflow', 'sql', 'scikit-learn']",9,2026-05-31T09:47:10.992265
,AI Engineer,High Five,"Jakarta Raya, Indonesia",2026-05-30,"Our Client builds production-grade AI sales agents for businesses in Southeast Asia, deployed on WhatsApp and Instagram. The agents run real sales conversations: answering questions, recommending products, taking bookings, processing payments, and following up automatically.




They are backed by Lightspeed Venture Partners, Monk's Hill Ventures, and M Venture Partners, with advisors including Kevin Aluwi (co-founder and ex-CEO of Gojek). It has 20+ enterprise clients in production.




Key Responsibilities

The internal AI tooling. Agent builder, agent fixer, copilot analyzer — you build and improve these so the Forward Deployed Engineering (FDE) team can ship better agents faster.
Harness and context engineering. You design and optimize the prompts, pipelines, and orchestration logic that make our agents actually perform in production.
Evaluation and debugging pipelines. You build the systems that catch AI failures before clients do — automated testing, AI judges, regression detection.
Model integration and routing. You stay current on what models are available, what they're good at, and you plug the right ones in at the right places.
AI infrastructure layer. You work with AWS, you understand latency and cost tradeoffs, and you make smart decisions about what runs where.
Shipping features end-to-end. You don't hand off to someone else. You design, build, test, and ship. You own it until it's in production and working.




Key Requirements

Builds agents, not just chatbots. You understand the difference between a prompt and a system. You've built multi-step agent workflows, tool-calling pipelines, or orchestration logic — not just single-turn LLM calls. You think in context, retrieval, routing, and evaluation.
Harness and context engineering depth. You know how to engineer a prompt system that's robust, not brittle. You understand context window management, structured outputs, chaining, and how to make an LLM do exactly what you need it to do even when the input is messy.
Ships fast and ships clean. You use Claude Code, Cursor, or whatever it takes to move at speed. But you also know how to review AI-generated code critically — you don't just accept the output, you own it. Your code goes to production, not just to demo.
Debugging instinct. When an agent fails, you don't shrug. You trace the failure, identify the root cause — whether it's the prompt, the context, the model, or the pipeline — and you fix it. You're the person who builds the tools that catch failures before they reach the client.
AWS and server literacy. Not DevOps-level, but you're comfortable with EC2, understand how to monitor a service, read logs when something breaks, and think about cost when you design something. You don't ship something that will fall over at 10x load.
Product sense. You understand who uses what you build. When you design the agent fixer or the copilot analyzer, you think about what the FDE actually needs — not just what's technically elegant. You ask ""does this make their job meaningfully easier"" before you ship.
Full ownership of your scope. You don't wait for a ticket to tell you something is broken. You don't finish a feature and walk away. You monitor, you iterate, you improve. Your KPI is whether the thing you built actually works in production, not whether the PR got merged.




Nice-to-haves

Experience with LLM evaluation frameworks (Langsmith, RAGAS, or custom eval pipelines)
Has built internal tooling used by non-technical teams (ops, sales, support)
Familiarity with RAG architecture, vector databases, or retrieval pipelines
Experience with multiple LLM providers and their tradeoffs (OpenAI, Anthropic, Gemini)
Has worked in a sales, CRM, or customer-facing AI product before",https://id.linkedin.com/jobs/view/ai-engineer-at-high-five-4422086587?position=7&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=oLSCKQ4g0Tb12pul6x0HhA%3D%3D,Machine Learning,Indonesia,['aws'],1,2026-05-31T09:47:17.596056
,Retail Banking Data Scientist,PT Bank SMBC Indonesia Tbk,"Jakarta Raya, Indonesia",2026-05-26,"Grow and Make an Impact with Bank SMBC Indonesia




Formerly known as Bank BTPN, we are now proud to be PT Bank SMBC Indonesia Tbk, part of Sumitomo Mitsui Banking Corporation, one of the world’s leading global financial groups.

This transformation marks a renewed commitment to delivering world-class banking services, grounded in innovation, collaboration, and sustainability.




At Bank SMBC Indonesia, we believe a career is more than just a job, it is a journey of personal growth, meaningful connections, and lasting impact. Join us and be part of a digital and social transformation that touches millions of lives.




Job Qualifications:

Minimum Bachelor’s Degree (S1) in Mathematics, Statistics, Computer Science, Data Science, Machine Learning, or a related quantitative field.
Proficiency in programming languages and data tools, including but not limited to SQL, Python, R, Hadoop, SPSS, or SAS.
Strong data analysis, data verification, and structured problem-solving abilities.
Advanced proficiency in the Microsoft Office Suite (Excel, PowerPoint, Word).
Deep technical knowledge of data mining, statistical analysis, and machine learning techniques.
Strong financial acumen coupled with the ability to translate complex statistical insights into business strategies.
Excellent written, oral, and presentation skills, with a proven ability to listen effectively and communicate complex ideas to non-technical stakeholders.
Proven track record of working effectively in team-oriented, cross-functional environments.




Roles & Responsibilities:

Design, build, and maintain predictive and scoring models that drive volume growth, optimize risk, and increase productivity—directly impacting revenue and cost efficiency.
Create and implement predictive modeling and trend analysis tools that seamlessly integrate into existing systems, anticipating business needs and providing real-time solutions.Solve business issues using optimum machine learning techniques.
Resolve complex business challenges by applying optimum machine learning techniques.
Partner closely with business users and cross-functional teams to identify key needs, deliver robust model solutions, and formulate data-driven strategies.
Provide deep-dive analysis related to lending portfolio underwriting, strategy implementation, validation, and scorecard modeling.
Oversee data gathering, cleansing, transformation, and model enhancement (including integrating new data sources) to optimize predictive capabilities and elevate analytics performance.




At Bank SMBC Indonesia, your career is more than a job, it’s a journey of impact and growth. Our Employee Value Proposition (EVP) reflects the values we live by:




Impactfulness: Through collaboration, we strive to improve the lives of millions.




Self-Growth: We encourage you to be the best version of yourself, every single day.




Relationship: We’re more than just colleagues, we are a family.




Network: We build connections beyond banking, beyond borders.




Digitally Powered: We harness technology to reshape the future of banking.




Be part of something greater. Grow with us, lead with purpose, and create a lasting impact!",https://id.linkedin.com/jobs/view/retail-banking-data-scientist-at-pt-bank-smbc-indonesia-tbk-4418237431?position=8&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=juzCMG%2Bg6s%2F%2BbXU9XJJkIQ%3D%3D,Machine Learning,Indonesia,"['python', 'git', 'hadoop', 'sql']",4,2026-05-31T09:47:24.199720
,"Production AI Innovation Lead (Contract, Remote)",INFUSE,Baki,2026-05-27,"OUR HIRING PROCESS:


We will review your application against our job requirements. We do not employ machine learning technologies during this phase as we believe every human deserves attention from another human. We do not think machines can evaluate your application quite like our seasoned recruiting professionals—every person is unique. We promise to give your candidacy a fair and detailed assessment.
We may then invite you to submit a video interview for the review of the hiring manager. This video interview is often followed by a test or short project that allows us to determine whether you will be a good fit for the team.
At this point, we will invite you to interview with our hiring manager and/or the interview team. Please note: We do not conduct interviews via text message, Telegram, etc. and we never hire anyone into our organization without having met you face-to-face (or via Zoom). You will be invited to come to a live meeting or Zoom, where you will meet our INFUSE team.
From there on, it’s decision time! If you are still excited to join INFUSE and we like you as much, we will have a conversation about your offer. We do not make offers without giving you the opportunity to speak with us live.


INFUSE is committed to complying with applicable data privacy and security laws and regulations. For more information, please see our Privacy Policy

At INFUSE Academy, we build learning experiences that work. We are looking for someone who sits at the intersection of design craft and AI experimentation -- a person who does not wait to be handed a process but builds one, tests it until it holds, and then scales it across the team.

This is not a traditional design role. It is part R&D, part operations, part education.

What you will bring:


Proficiency in Figma, Illustrator, and Photoshop
Solid foundation in composition, typography, and color theory
Experience with data visualization and visual storytelling
A genuine AI enthusiasm: you follow the space, you experiment independently, and you think in systems
Ability to move from testing to documentation to teaching without losing momentum
Strong self-organization -- you can run an open-ended initiative with minimal direction


What you will do:


Research and test AI tools relevant to learning content production
Refine workflows until output quality meets the bar, then document and standardize them
Train the production team on new tools and processes you have validated
Build courses and learning assets using the workflows you develop
Own the full cycle: strategy, testing, operationalization, and delivery


What you’ll love about working with us:


A fun, diverse team of professionals from every corner of the globe
A never-ending learning journey (because who wants to stop growing?)
Career growth opportunities with regular reviews, your success is our success!
Timely, market-range compensation (we make sure your wallet’s happy, too)
Paid time off for U.S. public holidays, because rest is as important as work
Summer Fridays with shorter hours, because everyone deserves a little sunshine
Access to top-tier tools, so you can create like a pro


If you recognize yourself in this and are up to the challenge, we’d be happy to hear from you!",https://id.linkedin.com/jobs/view/production-ai-innovation-lead-contract-remote-at-infuse-4419925232?position=9&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=2sIZqYTS2kWtwJtEJqaJTQ%3D%3D,Machine Learning,Indonesia,['aws'],1,2026-05-31T09:47:30.799640
,Data Analyst (Fraud),Kredivo Group,Area DKI Jakarta,2026-05-29,"As a fraud analyst, the jobholder will be to conduct monitoring, investigation and detecting potential fraudulent activity in the bank's digital transactions. Your responsibilities will include reviewing customer transactions for any signs of suspicious behavior, identifying potential fraud trends, and investigating any incidents of fraud and this includes contacting the customers to conduct inquiries as necessary. You will also work closely with other teams, such as IT, Customer Service and Risk Management, to develop and implement fraud prevention strategies and policies. Additionally, you will need to keep up-to-date with the latest fraud detection technologies and tools and participate in regular training sessions and team meetings. Your efforts will be crucial in ensuring the safety and security of the bank's digital transactions and maintaining customer trust and confidence.

About The Job


Monitoring and investigating fraud alerts and customer reports to detect any signs of suspicious activity or behavior that may indicate potential fraud.
Analyzing transaction data and patterns to identify potential fraud trends and patterns.
Investigating incidents of suspected fraud, including gathering evidence and working with other teams to resolve cases.
Collaborating with other departments, such as IT, Customer Services and Risk Management, to develop and implement fraud prevention strategies and policies.
Staying up-to-date on the latest fraud detection technologies and tools and participating in regular training sessions and team meetings.
Maintaining accurate records of fraud incidents and investigations and providing regular reports to management.
Ensuring compliance with regulatory requirements related to fraud prevention and reporting.


About You


A minimum of 2 years’ hands-on experience in a fraud investigation role in banking and Data Analytics.
Experience in digital banking and/or financial technology companies will be a significant plus.
Basic python programming is a plus.
Advance knowledge in SQL and basic statistical knowledge is a must
Strong analytical skills and put attention on details
Conversational ability in English is a must
Strong and highly motivated with positive mindset attitude
Collaborative and comfortable working in a dynamic and fast-paced environment",https://id.linkedin.com/jobs/view/data-analyst-fraud-at-kredivo-group-4326208086?position=10&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=sFeL%2BqjWfpr%2FB7vGMdKwyg%3D%3D,Machine Learning,Indonesia,"['python', 'git', 'rust', 'sql']",4,2026-05-31T09:47:37.400488
,Machine Learning Engineer | Remote,Crossing Hurdles,Indonesia,2026-05-26,"Position: Machine Learning Engineer

Type: Contract

Compensation: $30 - $100/hour

Location: Remote

Commitment: 10-40 hrs/week




Role Responsibilities

Develop, train, and deploy machine learning models using TensorFlow and Scikit-Learn to solve real-world business problems.
Conduct comprehensive data preprocessing, including data cleaning, transformation, and feature engineering to ensure high-quality inputs for model development.
Collaborate with data scientists, data engineers, and business analysts to understand requirements and translate them into scalable machine learning solutions.
Continuously monitor, evaluate, and refine model performance to ensure accuracy, efficiency, and reliability in production environments.
Document model development processes and communicate technical concepts and results with both technical and non-technical team members.
Stay updated on the latest research and advancements in machine learning and apply innovative techniques to enhance project outcomes.




Requirements:

Have expert-level proficiency in TensorFlow and Scikit-Learn for end-to-end model development and deployment.
Possess a strong background in data preprocessing, including handling missing values, outlier detection, and feature selection.
Have demonstrated experience in designing and implementing production-ready machine learning systems.
Have a solid understanding of algorithm selection, model evaluation metrics, and performance tuning.
Be able to work independently and remotely, delivering results in a fast-paced, deadline-driven environment.




Application Process:

Easy Apply on LinkedIn
Check email for next steps
Participate in resume evaluation & interview stage",https://id.linkedin.com/jobs/view/machine-learning-engineer-remote-at-crossing-hurdles-4418249618?position=11&pageNum=0&refId=%2FZXVzkVfXjihCIOPLoZkdw%3D%3D&trackingId=O5fjqzE2%2BgviosSRC%2FRcaQ%3D%3D,Machine Learning,Indonesia,"['scala', 'tensorflow', 'scikit-learn']",3,2026-05-31T09:47:44.002205
